ID,DATE,TITLE,LEAD
91C828D9C185449D966BDA53C7B89EBB,2019-11-01T00:10:13.000Z,Pohjois-Korea testasi jälleen ”supersuurta” raketinheitintä – Kim on aiemmin ylistänyt mahtavaa asetta,Pohjois-Korea on jatkanut asetestien tekemistä.
DA58241DDDC941639C9E2BE69CA72429,2019-11-01T00:11:20.000Z,Simpukkapuhelimet tekevät paluun – Samsung esitteli videolla erikoisen puhelimen,Samsung on laajentamassa taittuvanäyttöisten puhelimiensa mallistoa.
4DDAC7A506C84A5B8F7A8BB63D19881D,2019-11-01T00:12:57.000Z,Horoskooppi,
755A114F34654AB5A9719C6F7CB0BC43,2019-11-01T02:27:44.000Z,"Donald Trump jättää New Yorkin ja siirtää kirjansa Floridaan – NY:n kuvernööri sivaltaa maksamattomista veroista: ”Florida, pitäkää hyvänänne”",New Yorkissa koko ikänsä asunut Donald Trump ilmoittaa siirtävänsä kirjansa Floridaan.
67730A5E883F46C099A2F4FC76B10BF5,2019-11-01T03:03:42.000Z,Matti Nykäsen Eveliina-tytär avoimena rankasta lapsuudestaan: ”Isä yritti tulla ovesta läpi”,"Eveliina Mäntykangas, 29, koki lapsuudessaan rankkaa koulukiusaamista isänsä nimen takia. Hän joutui jo nuorena todistamaan, että Matti Nykäsessä oli kaksi puolta."
2A24DADFCCFC462BA2F69EC6AEBAB817,2019-11-01T03:05:38.000Z,Röyhkeät varkaat tekivät reiän seinään juuri oikeaan kohtaan – veivät lattiaan pultatun kassakaapin,Pornaisten K-kauppaan Uudellamaalla iskeneet yölliset varkaat tiesivät tarkkaan mitä olivat hakemassa.
5CFADBD5E10E48758EB6B1A5C1376ED9,2019-11-01T03:26:40.000Z,"""Sain 700 euroa siitä, että seison rikkaiden miesten vieressä"" - entinen kohukaunotar muistelee, miten hänet lennätettiin helikopterilla Viroon","Katri Haapanen paljasti Sensuroimaton Päivärinta -ohjelmassa, millaista oli elämä pintaliitokaunottarena."
3D7B0FA436E3443E97F37CF398C43451,2019-11-01T03:58:20.000Z,Noidan kotona,"Uushenkisyys on taas nousussa, eivätkä yliluonnolliset uskomukset ole tabu. Iltalehti tapasi porilaisen Leenan, joka mieltää itsensä noidaksi."
9BBBEBA1F92C431491FD21D9A7F4D205,2019-11-01T04:02:22.000Z,Mika Myllylän riipaisevat sanat jäivät ex-vaimon mieleen – enteilivät traagista kuolemaa jo vuosia aiemmin: ”Hän katsoi minua silmiin”,Suvi Paavola (ent. Myllylä) kertoi Kaj Kunnakselle tienneensä miehensä dopinginkäytöstä.
C667A7FDCC2C46958D3305D8DC36ECA4,2019-11-01T04:04:52.000Z,Ylen toimittaja sai kohun aikaan - Jatkaa aihepiirin käsittelyä tänään tv:ssä,"Sean Ricks on tummaihoinen suomalainen, joka haastatteli ihmisiä, joiden mielestä hän ei voi olla suomalainen."
